Country_Name,Date_of_peak_of_infected,Date_of_peak_of_deaths,Infected_to_peak,Deaths_to_peak
Austria,2020-03-27,2020-04-23,7029,494
Belgium,2020-04-11,2020-04-12,32778,4616
Bulgaria,2020-06-12,2020-06-06,3086,160
Croatia,2020-07-04,2020-04-20,3008,47
Cyprus,2020-04-02,2020-04-28,320,20
Czech Republic,2020-03-27,2020-04-15,2062,161
Denmark,2020-04-08,2020-04-05,5071,161
Estonia,2020-03-27,2020-04-03,538,11
Finland,2020-04-05,2020-04-22,1882,141
France,2020-04-01,2020-04-04,51477,6493
Germany,2020-03-20,2020-04-16,18323,3569
Greece,2020-04-22,2020-04-05,2401,68
Hungary,2020-04-10,2020-04-24,1190,250
Ireland,2020-04-10,2020-04-26,7393,1063
Italy,2020-03-21,2020-03-28,53578,9136
Latvia,2020-03-24,2020-04-22,180,9
Lithuania,2020-04-04,2020-04-12,771,23
Luxembourg,2020-03-24,2020-04-12,875,62
Malta,2020-04-08,2020-06-02,293,9
Netherlands,2020-03-24,2020-04-08,4749,2101
Poland,2020-06-05,2020-04-25,25048,494
Portugal,2020-04-11,2020-04-04,15472,246
Romania,2020-04-12,2020-05-01,5990,717
Slovakia,2020-04-17,2020-04-16,977,6
Slovenia,2020-03-13,2020-04-08,141,36
Spain,2020-04-01,2020-06-20,94417,28315
Sweden,2020-06-23,2020-04-22,58932,1765
